Id,signal_count,drug_class,r,g,b,Label
DENOSUMAB,5,Musculoskeletal (Other),221,161,94,DENOSUMAB
IPRATROPIUM BROMIDE,5,Anti-asthmatic,181,201,154,IPRATROPIUM BROMIDE
PLAQUENIL,5,Antiparasitic,163,177,138,PLAQUENIL
BUSPIRONE,5,Psycholeptic,155,93,229,BUSPIRONE
TOFACITINIB,5,Immunosuppressant,230,57,70,TOFACITINIB
TORIPALIMAB,5,Antineoplastic,42,157,143,TORIPALIMAB
FINASTERIDE,5,Genitourinary,204,213,174,FINASTERIDE
THIAMINE,5,Alimentary/Metabolism,138,177,125,THIAMINE
MYCOPHENOLIC ACID,5,Immunosuppressant,230,57,70,MYCOPHENOLIC ACID
CREON,5,Alimentary/Metabolism,138,177,125,CREON
ISMN,5,Cardiovascular (Other),87,117,144,ISMN
RIVAROXABAN,5,Antithrombotic,69,123,157,RIVAROXABAN
ATENOLOL,5,Beta Blocker,92,127,191,ATENOLOL
